Name,Address,city,country,phone,email,website,facebook,instagram,twitter,googlemap,license,mon,tue,wed,thu,fri,sat,sun,image,Online_Shop,StoreFront,Recreational,Medical,Curbside_Pickup,Accessible,Security
Cookies Toronto,278A Queen St W,"Toronto, ON CA M5V 2A1",Canada,416-586-0420,toronto@cookiescannabis.ca,https://cookiescannabis.ca/,,https://www.instagram.com/cookies.toronto,https://twitter.com/cookies_toronto,https://www.google.com/maps/dir/?api=1&destination=278A%20Queen%20St%20W%20Toronto%2C%20ON%20CA%20M5V%202A1,Adult-Use Retail: CRSA1201048,10:00AM - 10:00PM,10:00AM - 10:00PM,10:00AM - 10:00PM,10:00AM - 10:00PM,10:00AM - 10:00PM,10:00AM - 10:00PM,11:00AM - 8:00PM,Y,Y,,,,,,https://images.weedmaps.com/dispensaries/000/314/264/avatar/1641324036-cookies.png?fit=crop&auto=format&w=140&h=140
Tokyo Smoke - 570 Bloor St W,570 Bloor St W,"Toronto, ON CA M6G 1K1",Canada,(416) 551-8659,570BloorStW@tyosmoke.ca,https://ca.tokyosmoke.com/,,,,https://www.google.com/maps/dir/?api=1&destination=570%20Bloor%20St%20W%20Toronto%2C%20ON%20CA%20M6G%201K1,Adult-Use Retail: CRSA1167537,9:00AM - 8:00PM,9:00AM - 8:00PM,9:00AM - 6:00PM,11:00AM - 8:00PM,9:00AM - 8:00PM,9:00AM - 8:00PM,9:00AM - 8:00PM,Y,Y,,,Y,,,https://images.weedmaps.com/dispensaries/000/301/350/avatar/1628791260-exchange.jpeg?fit=crop&auto=format&w=140&h=140
The Leaf Collection,3331 Markham Rd Unit 103 & 104,"Toronto, ON CA M1X 1S8",Canada,(416) 546-0998,info@theleafcollection.ca,http://www.theleafcollection.ca/,https://www.facebook.com/The-Leaf-Collection-100127492287702,,,https://www.google.com/maps/dir/?api=1&destination=3331%20Markham%20Rd%20Unit%20103%20%26%20104%20Toronto%2C%20ON%20CA%20M1X%201S8,Adult-Use Retail: CRSA1200933,11:00AM - 11:00PM,11:00AM - 11:00PM,11:00AM - 11:00PM,11:00AM - 11:00PM,11:00AM - 11:00PM,11:00AM - 11:00PM,11:00AM - 11:00PM,Y,Y,,,Y,,,https://images.weedmaps.com/dispensaries/000/309/560/avatar/1625450565-leaf_collection.jpeg?fit=crop&auto=format&w=140&h=140
Century Cannabis,288 Adelaide St W,"Toronto, ON CA M5V 0P3",Canada,416-546-9944,adithi@centurycannabis.com,http://www.centurycannabis.com/,,https://www.instagram.com/@centurycannabis,,https://www.google.com/maps/dir/?api=1&destination=288%20Adelaide%20St%20W%20Toronto%2C%20ON%20CA%20M5V%200P3,,9:00AM - 11:00PM,9:00AM - 11:00PM,9:00AM - 11:00PM,9:00AM - 11:00PM,9:00AM - 11:00PM,9:00AM - 11:00PM,11:00AM - 11:00PM,Y,Y,,,Y,,,https://images.weedmaps.com/dispensaries/000/309/629/avatar/1626284374-project_20210408_1838021-01.png?fit=crop&auto=format&w=140&h=140
CANNABIS XPRESS,"5005 Steeles Avenue East, Unit 106","Scarborough, ON CA M1V 5K1",Canada,(647) 243-2106,scarborough.cannabisxpress@gmail.com,http://www.cannabis-xpress.com/,https://www.facebook.com/CANNA.XPRESS.ONTARIO,https://www.instagram.com/cannabis.xpress,https://twitter.com/cannabis-xpress,https://www.google.com/maps/dir/?api=1&destination=5005%20Steeles%20Avenue%20East%2C%20Unit%20106%20Scarborough%2C%20ON%20CA%20M1V%205K1,Adult-Use Retail: CRSA1256229,11:00AM - 8:00PM,11:00AM - 8:00PM,11:00AM - 8:00PM,11:00AM - 10:00PM,11:00AM - 10:00PM,11:00AM - 10:00PM,12:00PM - 8:00PM,Y,Y,,,Y,,,https://images.weedmaps.com/dispensaries/000/320/900/avatar/1659789503-pxl_20220805_224006943_2.jpg?fit=crop&auto=format&w=140&h=140
The Kensary - Kensington Market,80 Kensington Avenue,"Toronto, ON CA M5T 2K1",Canada,416-477-1489,80Kensington@Kensary.com,https://kensary.com/,https://www.facebook.com/TheKensary,https://www.instagram.com/Kensary.Kensington,https://twitter.com/TheyKensary,https://www.google.com/maps/dir/?api=1&destination=80%20Kensington%20Avenue%20Toronto%2C%20ON%20CA%20M5T%202K1,Adult-Use Retail: CRSA1172621,12:00PM - 7:00PM,12:00PM - 7:00PM,12:00PM - 7:00PM,12:00PM - 7:00PM,12:00PM - 9:00PM,11:00AM - 9:00PM,12:00PM - 8:00PM,Y,Y,,,Y,,,https://images.weedmaps.com/dispensaries/000/307/641/avatar/1618433136-K.jpeg?fit=crop&auto=format&w=140&h=140
Hot Buds,25 Kensington Ave,"Toronto, ON CA M5T 2J8",Canada,416-548-9333,info@hotbuds.ca,https://hotbuds.ca/,,https://www.instagram.com/hotbuds.ca,https://twitter.com/@Hot_buds,https://www.google.com/maps/dir/?api=1&destination=25%20Kensington%20Ave%20Toronto%2C%20ON%20CA%20M5T%202J8,Adult-Use Retail: Crsa1179346,10:00AM - 10:00PM,10:00AM - 10:00PM,10:00AM - 11:00PM,10:00AM - 11:00PM,10:00AM - 11:00PM,10:00AM - 11:00PM,10:00AM - 10:00PM,Y,Y,,,Y,,,https://images.weedmaps.com/dispensaries/000/309/939/avatar/1628166372-hot-buds-final.png?fit=crop&auto=format&w=140&h=140
One Plant - Kensington Market,241 Augusta Ave,"Toronto, ON CA M5T 2L8",Canada,416-591-8800,info@oneplant.ca,https://www.oneplant.ca/,,https://www.instagram.com/oneplant_kensington,,https://www.google.com/maps/dir/?api=1&destination=241%20Augusta%20Ave%20Toronto%2C%20ON%20CA%20M5T%202L8,Adult-Use Retail: CRSA1178737,10:00AM - 10:00PM,10:00AM - 10:00PM,10:00AM - 10:00PM,10:00AM - 10:00PM,10:00AM - 10:00PM,10:00AM - 10:00PM,10:00AM - 8:00PM,Y,Y,,,Y,,,https://images.weedmaps.com/dispensaries/000/302/252/avatar/1631731762-one_plant_proper_.png?fit=crop&auto=format&w=140&h=140
Wonder Pot,605 Bloor St W,"Toronto, ON CA M6G 1K6",Canada,416-534-6888,605Support@wonderpot.ca,https://wonderpot.ca/,https://www.facebook.com/WonderPotCA,https://www.instagram.com/WonderPotCA,https://twitter.com/WonderPotCA,https://www.google.com/maps/dir/?api=1&destination=605%20Bloor%20St%20W%20Toronto%2C%20ON%20CA%20M6G%201K6,,,,,,,,,Y,Y,,,,,,https://images.weedmaps.com/dispensaries/000/309/092/avatar/1623385874-logo_for_social_media_square.png?fit=crop&auto=format&w=140&h=140
THE BEND CANNABIS CO. - Kensington,16 Kensington Ave,"Toronto, ON CA M5T 2J7",Canada,(416) 979-1454,hello@thebendkensington.ca,https://www.thebendcannabis.ca/,https://www.facebook.com/TheBendRetail,,,https://www.google.com/maps/dir/?api=1&destination=16%20Kensington%20Ave%20Toronto%2C%20ON%20CA%20M5T%202J7,Adult-Use Retail: CRSA1185614,11:00AM - 7:00PM,11:00AM - 7:00PM,11:00AM - 7:00PM,11:00AM - 7:00PM,11:00AM - 7:00PM,11:00AM - 7:00PM,11:00AM - 7:00PM,Y,Y,,,,,,https://images.weedmaps.com/dispensaries/000/307/251/avatar/1615552845-the_bend.jpg?fit=crop&auto=format&w=140&h=140
Hotbox Shop Kensington Market,206 Augusta Ave,"Toronto, ON CA M5T 2L6",Canada,647-350-4769,info@hotboxshop.ca,https://hotboxshop.ca/,,,,https://www.google.com/maps/dir/?api=1&destination=206%20Augusta%20Ave%20Toronto%2C%20ON%20CA%20M5T%202L6,,11:00AM - 10:00PM,11:00AM - 10:00PM,11:00AM - 10:00PM,11:00AM - 10:00PM,11:00AM - 10:00PM,11:00AM - 10:00PM,11:00AM - 8:00PM,Y,Y,,,Y,,,https://images.weedmaps.com/dispensaries/000/303/953/avatar/1597431058-Hot_Box_logo_340_x_340px.png?fit=crop&auto=format&w=140&h=140
Miss Jones Cannabis - King West Outpost,315 King Street West,"Toronto, ON CA M5V 1J5",Canada,(647) 547-0383,kingwest@missjonescannabis.com,http://www.missjonescannabis.com/,https://www.facebook.com/Miss-Jones-Cannabis-Outposts-104688647933534,https://www.instagram.com/missjonesoutposts,https://twitter.com/xomissjones,https://www.google.com/maps/dir/?api=1&destination=315%20King%20Street%20West%20Toronto%2C%20ON%20CA%20M5V%201J5,Adult-Use Retail: CRSA1192687,10:00AM - 11:00PM,10:00AM - 11:00PM,10:00AM - 11:00PM,10:00AM - 11:00PM,10:00AM - 11:00PM,10:00AM - 11:00PM,10:00AM - 8:00PM,Y,Y,,,,,,https://images.weedmaps.com/dispensaries/000/307/583/avatar/1616001701-Miss_Jones_Logo.jpeg?fit=crop&auto=format&w=140&h=140
Edition X - St. Clair,764 St Clair Ave West,"Toronto, ON CA M6C1B5",Canada,4165194460,HIGH@helloedition.com,http://www.helloedition.com/,https://www.facebook.com/Edition-X-109999474097160,https://www.instagram.com/helloeditionx,,https://www.google.com/maps/dir/?api=1&destination=764%20St%20Clair%20Ave%20West%20Toronto%2C%20ON%20CA%20M6C1B5,Adult-Use Retail: CRSA1172364,10:00AM - 8:00PM,10:00AM - 8:00PM,10:00AM - 8:00PM,10:00AM - 8:00PM,10:00AM - 8:00PM,10:00AM - 8:00PM,11:00AM - 7:00PM,Y,Y,,,Y,,,https://images.weedmaps.com/dispensaries/000/307/725/avatar/1621036549-bdec7536-d016-467d-b9fe-b3adbdf68a26.jpeg?fit=crop&auto=format&w=140&h=140
BELLEBUD,127 Spadina Avenue,"Toronto, ON CA M5V 2K8",Canada,(416) 901-1283,chloe@bellebud.ca,http://www.bellebud.com/,https://www.facebook.com/bellebudca,https://www.instagram.com/bellebudca,https://twitter.com/ZMLDvgJ5B,https://www.google.com/maps/dir/?api=1&destination=127%20Spadina%20Avenue%20Toronto%2C%20ON%20CA%20M5V%202K8,Adult-Use Retail: CRSA1205907,10:00AM - 11:00PM,10:00AM - 11:00PM,10:00AM - 11:00PM,10:00AM - 11:00PM,10:00AM - 11:00PM,10:00AM - 11:00PM,10:00AM - 11:00PM,Y,Y,,,Y,,,https://images.weedmaps.com/dispensaries/000/313/474/avatar/1646426755-bellebud_icon_white_circle__300_.png?fit=crop&auto=format&w=140&h=140
Sessions Cannabis - Spadina,140 Spadina Ave,"Toronto, ON CA M5V 2L4",Canada,416-477-0896,spadina@sessions.ca,https://www.sessions.ca/spadina-dispensary-menu,https://www.facebook.com/startyoursession,https://www.instagram.com/startyoursesh,https://twitter.com/startyoursesh,https://www.google.com/maps/dir/?api=1&destination=140%20Spadina%20Ave%20Toronto%2C%20ON%20CA%20M5V%202L4,Adult-Use Retail: CRSA1187807,12:00PM - 9:00PM,12:00PM - 9:00PM,12:00PM - 9:00PM,12:00PM - 9:00PM,12:00PM - 9:00PM,12:00PM - 7:00PM,12:00PM - 8:00PM,Y,Y,,,,,,https://images.weedmaps.com/dispensaries/000/314/458/avatar/1643049712-sessions_logo.png?fit=crop&auto=format&w=140&h=140
Cabin Cannabis,688 Bloor St. W,"Toronto, ON CA M6G1L2",Canada,416-538-0688,mycabincannabis@gmail.com,http://www.cabincannabis.ca/,https://www.facebook.com/CabinDispensary,https://www.instagram.com/cabin_cannabis,,https://www.google.com/maps/dir/?api=1&destination=688%20Bloor%20St.%20W%20Toronto%2C%20ON%20CA%20M6G1L2,Adult-Use Retail: CRSA1190859,11:00AM - 9:00PM,11:00AM - 9:00PM,11:00AM - 9:00PM,11:00AM - 9:00PM,11:00AM - 10:00PM,11:00AM - 10:00PM,11:00AM - 9:00PM,Y,Y,,,,,,https://images.weedmaps.com/dispensaries/000/309/186/avatar/1623821680-untitled_design__3_.png?fit=crop&auto=format&w=140&h=140
Value Buds - Queen Street West,499 Queen St W,"Toronto, ON CA M5V 2B4",Canada,(416) 364-2321,2040001store@valuebuds.com,https://valuebuds.com/,,https://www.instagram.com/valuebudscanada,https://twitter.com/value_buds,https://www.google.com/maps/dir/?api=1&destination=499%20Queen%20St%20W%20Toronto%2C%20ON%20CA%20M5V%202B4,Adult-Use Retail: CSRA1203268,10:00AM - 10:00PM,10:00AM - 10:00PM,10:00AM - 10:00PM,10:00AM - 10:00PM,10:00AM - 10:00PM,10:00AM - 10:00PM,10:00AM - 10:00PM,Y,Y,,,,,,https://images.weedmaps.com/dispensaries/000/313/974/avatar/1639083371-value-buds_1920x1920_.jpeg?fit=crop&auto=format&w=140&h=140
Spiritleaf - Queen St West Toronto,535 Queen Street West,"Toronto, ON CA M5V 2B4",Canada,(416) 546-7171,queenwest@spiritleaf.ca,https://spiritleaf.ca/locations/queen-west-cannabis-shop/?,https://www.facebook.com/SpiritleafCA,https://www.instagram.com/spiritleafqueenwest,https://twitter.com/SpiritleafCA,https://www.google.com/maps/dir/?api=1&destination=535%20Queen%20Street%20West%20Toronto%2C%20ON%20CA%20M5V%202B4,Adult-Use Retail: CRSA 1191244,10:00AM - 10:00PM,10:00AM - 10:00PM,10:00AM - 10:00PM,10:00AM - 10:00PM,10:00AM - 10:00PM,10:00AM - 10:00PM,10:00AM - 10:00PM,Y,Y,,,Y,,,https://images.weedmaps.com/dispensaries/000/307/824/avatar/1625841964-queen_west_street_view.png?fit=crop&auto=format&w=140&h=140
Blunt & Cherry,64 Spadina Ave,"Toronto, ON CA m5v2h8",Canada,4169779343,info@bluntandcherry.com,http://www.bluntandcherry.com/,https://www.facebook.com/@bluntandcherry,https://www.instagram.com/@bluntxcherry_,https://twitter.com/@bluntandcherry,https://www.google.com/maps/dir/?api=1&destination=64%20Spadina%20Ave%20Toronto%2C%20ON%20CA%20m5v2h8,Adult-Use Retail: CRSA1172427,11:00AM - 11:00PM,11:00AM - 11:00PM,11:00AM - 11:00PM,11:00AM - 11:00PM,11:00AM - 11:00PM,11:00AM - 11:00PM,11:00AM - 11:00PM,Y,Y,,,Y,,,https://images.weedmaps.com/dispensaries/000/304/062/avatar/1599884728-Full_building_and_mural.jpg?fit=crop&auto=format&w=140&h=140
Tokyo Smoke - 545 Queen St. West,"545 Queen St W,","Toronto, ON CA M5V 2B6",Canada,(416) 366-6866,askbob@tokyosmoke.com,https://stores.tokyosmoke.com/on/toronto/545-queen-street-west,,,,https://www.google.com/maps/dir/?api=1&destination=545%20Queen%20St%20W%2C%20Toronto%2C%20ON%20CA%20M5V%202B6,,9:00AM - 8:00PM,9:00AM - 8:00PM,9:00AM - 8:00PM,9:00AM - 8:00PM,9:00AM - 8:00PM,9:00AM - 8:00PM,9:00AM - 8:00PM,Y,Y,,,,,,https://images.weedmaps.com/dispensaries/000/306/321/avatar/1628791508-osborne.jpeg?fit=crop&auto=format&w=140&h=140
Spiritleaf - Little Italy,542 College Street,"Toronto, ON CA M6G 1A9",Canada,437-887-0533,littleitaly@spiritleaf.ca,http://spiritleaf.ca/,https://www.facebook.com/spiritleaflittleitaly,https://www.instagram.com/?hl=en,https://twitter.com/sllittleitalyto?lang=en,https://www.google.com/maps/dir/?api=1&destination=542%20College%20Street%20Toronto%2C%20ON%20CA%20M6G%201A9,Adult-Use Retail: CRSA1172551,10:00AM - 10:00PM,10:00AM - 10:00PM,10:00AM - 10:00PM,10:00AM - 11:00PM,10:00AM - 11:00PM,10:00AM - 11:00PM,11:00AM - 10:00PM,Y,Y,,,Y,,,https://images.weedmaps.com/dispensaries/000/305/810/avatar/1617989643-Pride_Profile_Pic_1-2.png?fit=crop&auto=format&w=140&h=140
Hidden Leaf Cannabis Co.,701 Lawrence Ave West,"North York, ON CA M6A 1B4",Canada,416-736-9014,Lawrence@hiddenleafcannabisco.com,http://www.hiddenleafcannabisco.com/,https://www.facebook.com/hiddenleafcanna.co,https://www.instagram.com/hiddenleafcanna.co,https://twitter.com/hiddenleafcanna,https://www.google.com/maps/dir/?api=1&destination=701%20Lawrence%20Ave%20West%20North%20York%2C%20ON%20CA%20M6A%201B4,Adult-Use Retail: CRSA1204639,10:30AM - 10:00PM,10:30AM - 10:00PM,10:30AM - 10:00PM,10:30AM - 10:00PM,10:30AM - 11:00PM,10:30AM - 11:00PM,10:30AM - 10:00PM,Y,Y,,,Y,,,https://images.weedmaps.com/dispensaries/000/308/251/avatar/1673548896-logos-01__1_.png?fit=crop&auto=format&w=140&h=140
Cori,552 Queen St W,"Toronto, ON CA M5V 2B5",Canada,(416) 203-2674,hello@shopcori.com,https://shopcori.com/,https://www.facebook.com/shopcori,https://www.instagram.com/shopcori,,https://www.google.com/maps/dir/?api=1&destination=552%20Queen%20St%20W%20Toronto%2C%20ON%20CA%20M5V%202B5,Adult-Use Retail: CRSA1178294,10:00AM - 11:00PM,10:00AM - 11:00PM,10:00AM - 11:00PM,10:00AM - 11:00PM,10:00AM - 11:00PM,10:00AM - 11:00PM,10:00AM - 11:00PM,Y,Y,,,Y,,,https://images.weedmaps.com/dispensaries/000/306/741/avatar/1612045034-Cori_Saffron_Logo_with_Tagline.jpeg?fit=crop&auto=format&w=140&h=140
High Street Cannabis Retail,633 Queen Street West,"Toronto, ON CA M5V 2B7",Canada,647-534-4448,michael.motala@columbia.edu,http://hscr.ca/,,https://www.instagram.com/HSCRqueen,,https://www.google.com/maps/dir/?api=1&destination=633%20Queen%20Street%20West%20Toronto%2C%20ON%20CA%20M5V%202B7,Adult-Use Retail: CRSA1172513,11:00AM - 8:00PM,11:00AM - 8:00PM,11:00AM - 8:00PM,11:00AM - 8:00PM,11:00AM - 8:00PM,11:00AM - 8:00PM,11:00AM - 8:00PM,Y,Y,,,Y,,,https://images.weedmaps.com/dispensaries/000/304/982/avatar/1612875159-Screen_Shot_2021-02-09_at_7.52.29_AM.png?fit=crop&auto=format&w=140&h=140
Lucky Toke Cannabis,6375 Yonge Street,"North York, ON CA M2M 3X9",Canada,416-901-5152,please@call.com,,,,,https://www.google.com/maps/dir/?api=1&destination=6375%20Yonge%20Street%20North%20York%2C%20ON%20CA%20M2M%203X9,,10:00AM - 8:00PM,10:00AM - 8:00PM,10:00AM - 8:00PM,10:00AM - 8:00PM,10:00AM - 8:00PM,10:00AM - 8:00PM,10:00AM - 8:00PM,Y,Y,,,Y,,,https://images.weedmaps.com/static/placeholders/weedmaps-logo.jpg?fit=crop&auto=format&w=140&h=140
Erbn Green Cannabis Co - Dundas W,842 DUNDAS ST W,"Toronto, ON CA M6J 1V5",Canada,4168605932,store102@erbngreen.com,https://erbngreen.com/,https://www.facebook.com/erbngreen,https://www.instagram.com/erbngreen,https://twitter.com/erbngreen,https://www.google.com/maps/dir/?api=1&destination=842%20DUNDAS%20ST%20W%20Toronto%2C%20ON%20CA%20M6J%201V5,Adult-Use Retail: CRSA1172650,10:00AM - 9:00PM,10:00AM - 9:00PM,10:00AM - 9:00PM,10:00AM - 10:00PM,10:00AM - 10:00PM,10:00AM - 10:00PM,10:00AM - 9:00PM,Y,Y,,,,,,https://images.weedmaps.com/dispensaries/000/306/556/avatar/1648668178-resized_erbn_logos_primary_double_regular_format-rgb.png?fit=crop&auto=format&w=140&h=140
ASHARIO CANNABIS- Centerpoint Mall,6464 Yonge St. Unit #187,"North York, ON CA M2M 3X4",Canada,416 477 9333,info@ashario.ca,http://www.ashario.ca/,https://www.facebook.com/ashariocanada,https://www.instagram.com/ashario,https://twitter.com/ashariocannabis,https://www.google.com/maps/dir/?api=1&destination=6464%20Yonge%20St.%20Unit%20%23187%20North%20York%2C%20ON%20CA%20M2M%203X4,Adult-Use Retail: CRSA1198418,9:00AM - 11:00PM,9:00AM - 11:00PM,9:00AM - 11:00PM,9:00AM - 11:00PM,9:00AM - 11:00PM,9:00AM - 11:00PM,9:00AM - 11:00PM,Y,Y,,,Y,,,https://images.weedmaps.com/dispensaries/000/308/038/avatar/1655774920-_banners__3_.png?fit=crop&auto=format&w=140&h=140
Himalaya Cannabis Ltd,871 Dundas St W,"Toronto, Ontario CA M6J 1V6",Canada,(647) 343-0871,himalayacannabis@gmail.com,http://himalayacannabis.ca/,,https://www.instagram.com/himalaya.cannabis,,https://www.google.com/maps/dir/?api=1&destination=871%20Dundas%20St%20W%20Toronto%2C%20Ontario%20CA%20M6J%201V6,Adult-Use Retail: CRSA1193850,10:00AM - 10:30PM,10:00AM - 10:30PM,10:00AM - 10:30PM,10:00AM - 11:00PM,10:00AM - 11:00PM,10:00AM - 11:00PM,10:00AM - 9:00PM,Y,Y,,,Y,,,https://images.weedmaps.com/dispensaries/000/309/444/avatar/1638552017-himilaya.jpeg?fit=crop&auto=format&w=140&h=140
Canyon Cannabis - 872 Dundas St W,872 Dundas St W,"Toronto, ON CA M6J 1V7",Canada,416-303-9333,hello@canyoncannabis.ca,https://canyoncannabis.ca/shop-at-trinity-bellwoods/,,,,https://www.google.com/maps/dir/?api=1&destination=872%20Dundas%20St%20W%20Toronto%2C%20ON%20CA%20M6J%201V7,,10:00AM - 7:30PM,10:00AM - 7:30PM,10:00AM - 7:30PM,10:00AM - 7:30PM,10:00AM - 7:30PM,10:00AM - 7:30PM,11:00AM - 7:00PM,Y,Y,,,Y,,,https://images.weedmaps.com/dispensaries/000/306/519/avatar/1613067499-canyon_logo.png?fit=crop&auto=format&w=140&h=140
Bud Express Co,662 Queen St. W,"Toronto, ON CA M6J 1E5",Canada,6474940497,info@budexpress.com,http://budexpress.com/,,,,https://www.google.com/maps/dir/?api=1&destination=662%20Queen%20St.%20W%20Toronto%2C%20ON%20CA%20M6J%201E5,Adult-Use Retail: CRSA1192186,10:00AM - 9:00PM,10:00AM - 9:00PM,10:00AM - 9:00PM,10:00AM - 9:00PM,10:00AM - 10:00PM,10:00AM - 10:00PM,10:00AM - 9:00PM,Y,Y,,,,,,https://images.weedmaps.com/dispensaries/000/310/065/avatar/1629975283-screen_shot_2021-08-26_at_65425_am.png?fit=crop&auto=format&w=140&h=140
Greenport Cannabis - 686 College St,686 College Street,"Toronto, ON CA M6G 1C1",Canada,(416) 901-5355,info@greenportglobal.com,https://greenport.store/,https://www.facebook.com/greenportcan,https://www.instagram.com/greenportstore,,https://www.google.com/maps/dir/?api=1&destination=686%20College%20Street%20Toronto%2C%20ON%20CA%20M6G%201C1,Adult-Use Retail: CRSA1178784,11:00AM - 8:00PM,11:00AM - 8:00PM,11:00AM - 8:00PM,11:00AM - 8:00PM,11:00AM - 8:00PM,11:00AM - 8:00PM,11:00AM - 8:00PM,Y,Y,,,Y,,,https://images.weedmaps.com/dispensaries/000/305/187/avatar/1608573756-GREENPORT.png?fit=crop&auto=format&w=140&h=140
Canna Cabana - King St W,720 King Street West,"Toronto, M5V 2T3 CA ON",Canada,647-352-9614,info@cannacabana.com,https://cannacabana.com/on/toronto/toronto-king-street-west/,https://www.facebook.com/theCannaCabana,https://www.instagram.com/canna.cabana,,https://www.google.com/maps/dir/?api=1&destination=720%20King%20Street%20West%20Toronto%2C%20M5V%202T3%20CA%20ON,Adult-Use Retail: CRSA1172679,9:00AM - 8:00PM,9:00AM - 8:00PM,9:00AM - 8:00PM,9:00AM - 8:00PM,9:00AM - 8:00PM,9:30AM - 8:00PM,9:00AM - 8:00PM,Y,Y,,,,,,https://images.weedmaps.com/dispensaries/000/308/168/avatar/1619713579-canna_cabana_logo.jpg?fit=crop&auto=format&w=140&h=140
Friendly Stranger Cannabis Culture Shop - College St. (Little Italy),717 College St.,"Toronto, ON CA M6G 1C2",Canada,(416) 901-9499,info@friendlystranger.com,,,,,https://www.google.com/maps/dir/?api=1&destination=717%20College%20St.%20Toronto%2C%20ON%20CA%20M6G%201C2,,10:00AM - 8:00PM,10:00AM - 8:00PM,10:00AM - 8:00PM,10:00AM - 8:00PM,10:00AM - 8:00PM,10:00AM - 8:00PM,10:00AM - 8:00PM,Y,Y,,,,,,https://images.weedmaps.com/static/placeholders/weedmaps-logo.jpg?fit=crop&auto=format&w=140&h=140
Forever Buds,722 College St (Lower Level),"Toronto, ON CA M6G 1C2",Canada,416 551 2837,hi@foreverbuds.ca,https://www.foreverbuds.ca/,,,https://www.facebook.com/beforeverbuds,https://www.google.com/maps/dir/?api=1&destination=722%20College%20St%20(Lower%20Level)%20Toronto%2C%20ON%20CA%20M6G%201C2,,11:00AM - 9:30PM,11:00AM - 9:30PM,11:00AM - 9:30PM,11:00AM - 9:30PM,11:00AM - 10:30PM,11:00AM - 10:30PM,11:00AM - 8:00PM,Y,Y,,,Y,,,https://images.weedmaps.com/dispensaries/000/307/248/avatar/1615215590-FB_logo_smiley_maroon.png?fit=crop&auto=format&w=140&h=140
Miss Jones Cannabis - Fort York Outpost,170 Fort York Blvd,"Toronto, ON CA M5V 0E6",Canada,(416) 519-9159,fortyork@missjonescannabis.com,https://missjonescannabis.com/shop/170-fort-york-blvd/,https://www.facebook.com/Miss-Jones-Cannabis-Outposts-104688647933534,https://www.instagram.com/missjonesoutposts,https://twitter.com/xomissjones,https://www.google.com/maps/dir/?api=1&destination=170%20Fort%20York%20Blvd%20Toronto%2C%20ON%20CA%20M5V%200E6,Adult-Use Retail: CRSA1172504,10:00AM - 11:00PM,10:00AM - 11:00PM,10:00AM - 11:00PM,10:00AM - 11:00PM,10:00AM - 11:00PM,10:00AM - 11:00PM,10:00AM - 11:00PM,Y,Y,,,Y,,,https://images.weedmaps.com/dispensaries/000/303/006/avatar/1594406225-Miss_Jones_Tablet_Background.jpg?fit=crop&auto=format&w=140&h=140
Cosmic Charlies,821 QUEEN ST W,"Toronto, Ontario CA M6J 1G1",Canada,4163672429,comms@cosmiccharlies.ca,https://www.cosmiccharlies.ca/,https://www.facebook.com/cosmiccharlies.shop,https://www.instagram.com/cosmiccharlies.shop,https://twitter.com/cosmic_charlies,https://www.google.com/maps/dir/?api=1&destination=821%20QUEEN%20ST%20W%20Toronto%2C%20Ontario%20CA%20M6J%201G1,Adult-Use Retail: CRSA1193139,11:00AM - 10:00PM,11:00AM - 10:00PM,11:00AM - 10:00PM,11:00AM - 10:00PM,10:00AM - 11:00PM,10:00AM - 11:00PM,11:00AM - 10:00PM,Y,Y,,,Y,,,https://images.weedmaps.com/dispensaries/000/309/066/avatar/1623960143-unnamed.jpg?fit=crop&auto=format&w=140&h=140
THE POT SPOT - 959 Dovercourt Rd,959 Dovercourt Rd,"Toronto, ON CA M6H 2X6",Canada,416-901-1808,thespottoronto@hotmail.com,http://www.thepotspottoronto.com/,https://www.facebook.com/THEPOTSPOTTORONTO,https://www.instagram.com/thepotspottoronto,https://twitter.com/potspottoronto,https://www.google.com/maps/dir/?api=1&destination=959%20Dovercourt%20Rd%20Toronto%2C%20ON%20CA%20M6H%202X6,,10:00AM - 10:00PM,10:00AM - 10:00PM,10:00AM - 10:00PM,10:00AM - 10:00PM,10:00AM - 10:00PM,10:00AM - 10:00PM,10:00AM - 10:00PM,Y,Y,,,Y,,,https://images.weedmaps.com/dispensaries/000/306/432/avatar/1638911658-1611264949-instagram_thumbnail_-_pot_spot.png?fit=crop&auto=format&w=140&h=140
V&D Cannabis,2851 Dufferin St,"North York, ON CA M6B 3S4",Canada,416.787.2450,public@vnd.life,https://vnd.life/,,,https://www.instagram.com/vnd_cannabis,https://www.google.com/maps/dir/?api=1&destination=2851%20Dufferin%20St%20North%20York%2C%20ON%20CA%20M6B%203S4,,10:00AM - 10:45PM,10:00AM - 10:45PM,10:00AM - 10:45PM,10:00AM - 10:45PM,10:00AM - 10:45PM,10:00AM - 10:45PM,10:00AM - 10:45PM,Y,Y,,,Y,,,https://images.weedmaps.com/dispensaries/000/308/174/avatar/1619725100-v_d_logo.jpeg?fit=crop&auto=format&w=140&h=140
