brand,dispensary,name,type,description,thc,cbd,size,price,image
Houseplant Canada,['Little House Cannabis - 307 Wellesley St E'],KISH Terp Slush,Live Resin,"2 x 0.5g Pre-Rolls
Houseplant Indica is a high-THC and low-CBD strain selected from a series of unique phenotypes of Kush origin. Its pungent aroma is complemented with earthy, floral, and musky notes, thanks to the terpenes caryophyllene, and limonene.",74.5% ,4mg ,1 g,$60.99,https://images.weedmaps.com/products/000/205/145/avatar/1607629515-Screen_Shot_2020-12-10_at_2.44.29_PM.png?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
Greybeard Cannabis,['Little House Cannabis - 307 Wellesley St E'],Twd.28 Indica,Infused Flower,"Greybeard Live Resin Terp Slush is an elevated version of the ever-popular HTFSE (High-Terpene Full-Spectrum Extract), carefully made from cannabis grown outdoors. As they harvest, the crop is flash-frozen to seal in the cannabinoids and terpenes until they are ready to be extracted through their hydrocarbon process, resulting in highly aromatic and flavourful concentrates.
Kish is an Ontario original, a brilliant outdoor grower with outstanding terp levels and bulging trichomes, this strain is a renegade mix of DJ Short, Blueberry and Afghani.
Once the top colas of the 2019 outdoor-grown Kish hit 19.5% THC and a terpene content of over 5% in the field, they topped those trees and immediately froze them to lock it all in.
Kish Terp Slush gives off notes of raspberry, mango, and pine, with a strong hit of sweet Orange at the finish. Greybeard Live Resin Terp Slush also has a wonderfully granular consistency that makes it a breeze to use in dab rigs and pens.",20% ,10% ,1 oz,$107.99,https://images.weedmaps.com/products/000/261/857/avatar/1643138970-101411_2.jpg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
Twd.28,['Little House Cannabis - 307 Wellesley St E'],Wana Sour Gummies Pomegranate Blueberry Acai 5:1,Gummies,"Twd.28 Indica™ is 28 grams of indica bud with lots of THC (17-23%) and little-to-no CBD (<0.1%). 

High THC, low CBD: it's that simple.",,1mg ,Each,$6.99,https://images.weedmaps.com/products/000/260/664/avatar/1620238888-1200px-x-1200px-pomegranate.jpg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
Wana Canada,"['BUDSSMOKE - Burlington', 'Little House Cannabis - 307 Wellesley St E', 'Matchbox Cannabis - Rogers Rd']",Limon Splashdown,Drinks,"Pucker up with Pomegranate Blueberry Acai Wana Sour Gummies and their slightly acidic, juicy flavour; handcrafted with pectin and a terpene-enhanced distillate. 50 mg CBD and 10 mg THC per package.",10mg ,10mg ,Each,$8.00,https://images.weedmaps.com/products/000/313/587/avatar/1635277352-20290_dps_2_beauty_label_render_opta1.jpg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
Deep Space,"['Erbn Green Cannabis Co - Dundas W', 'Spiritleaf - Imperial Centre', 'Spiritleaf - Brickyard']",Pomegranate 4:1 CBD/THC,Gummies,"Welcome to Deep Space. Get ready for splashdown. Deep Space Limon Splashdown is small, potent and ready to consume. Full-flavoured and rooted in lime & lemon flavours with a unique Deep Space twist, it is a 10mg THC-infused carbonated beverage in a 222ml sleek can.",10mg ,0.5% ,Each,$4.95,https://images.weedmaps.com/products/000/401/800/avatar/1658507810-pearls-pomegranate-branded-1600x1600.jpg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
Pearls,"['Erbn Green Cannabis Co - Dundas W', 'Mota Toke']",HP Lime Sparkling Water,Drinks,"Cozy up and wind down with sweet and refreshing Pomegranate Pearls. Infused with CBD and THC in a 4:1 ratio, each sugar-coated pearl contains 8 mg of CBD and 2 mg of THC. Pearls are bursting with natural flavour, and coated in sugar for a sweet treat no matter where you are. Bring them on the go, enjoy them with friends, or indulge in a night in by yourself because Pearls go with everything. 5 gummies per pack.",,,Each,$5.57,https://images.weedmaps.com/products/000/281/361/avatar/1626882051-vanity_lime_noshadow.png?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
Houseplant Canada,['Wonder Pot'],THC Milk Chocolate,Chocolates,"Houseplant Lime is a refreshing and naturally flavoured cannabis-infused sparkling water with sativa-dominant THC distillate. With a subtle hint of lime and the perfect amount of bubbles, this citrusy sparkling water is best enjoyed chilled or over ice.",,10mg ,Each,$5.57,https://images.weedmaps.com/products/000/271/661/avatar/1623869404-10_-_thc_milk_-_1600.jpg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
Bhang Canada,"['Ambrosia Cannabis Emporium', 'Matchbox Cannabis - Rogers Rd', 'Wonder Pot']",Wana Sour Gummies Strawberry 10:1,Gummies,"Bhang® THC Milk Chocolate combines rich 48% cocoa and THC, scored into four pieces perfect for sharing. Enjoy the cannabis-free flavour of this creamy milk chocolate with the right amount of sweetness and 10 mg THC per bar. Bhang® didn’t create cannabis chocolate, they just perfected it. 

Ingredients:
Sugar, bittersweet chocolate, whole milk powder, cocoa butter, lecithin, vanilla, cannabis distillate",,1500mg ,Each,$8.97,https://images.weedmaps.com/products/000/260/665/avatar/1620239227-1200px-x-1200px-strawberry.jpg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
Wana Canada,"['BUDSSMOKE - Burlington', 'Matchbox Cannabis - Rogers Rd', 'Wonder Pot']",CBD Oral Strips,Edibles,"Bursts of juicy, strawberry flavour in Strawberry 10:1 Wana Sour Gummies; handcrafted with pectin and a terpene-enhanced distillate. 20 mg CBD and 2 mg THC per package.",,,Each,$39.97,https://images.weedmaps.com/products/000/267/734/avatar/1622564331-f12b75f7-a2f4-4d73-9971-213fa97000b2.jpeg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
Being Cannabis,['Wonder Pot'],THC Cookies & Cream White Chocolate,Chocolates,"Being Fast Acting Oral CBD QuickStrip™ is a smoke-free cannabis alternative that can deliver more cannabinoids per equivalent dose, faster, than other non-combustible formats. Each QuickStrip delivers cannabinoids rapidly by micronizing cannabis oils and suspending them evenly in a thin film. And when dissolved under the tongue each CBD QuickStrip may deliver its cannabinoids with greater impact than edibles, oils or capsules containing similar amounts of CBD because it bypasses the digestive system. Being strips can easily be torn into smaller segments for micro-dosing. Sold in pouches of 10 strips (with each strip hermetically sealed in individual wrappers for perfect portability. Being strips are, nut-free, and contain no animal products. Naturally flavoured with peppermint oil.",,,Each,$5.57,https://images.weedmaps.com/products/000/271/675/avatar/1623870578-bhang-thc-cookies_-cream-branded_bkgrnd_1600x1600.jpg?blur=500&q=1&fill=solid&fit=crop&auto=format&w=240&h=240
